"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"New Jersey : nuclear","thousand megawatthours","ELEC.GEN.NUC-NJ-99.A",30469,30866,29709,27082,31392,32568,32010,32195,34328,32771,33606,33110,33380,31507,33262,29885,34033,31982,26637,26738
"New Jersey : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NJ-99.A",18,12,39,38,31,35,21,26,32,18,24,11,18,17,10,9,14,36,26,15
"New Jersey : other renewables","thousand megawatthours","ELEC.GEN.AOR-NJ-99.A",844,847,907,806,875,917,844,905,960,850,956,1281,1447,1536,1595,1838,1877,1948,1984,2361
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-99.A","--","--","--","--","--",16,20,21,21,13,11,12,11,23,22,21,22,23,22,22
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A","--","--","--","--","--","--","--",3,11,21,69,304,437,514,628,835,926,990,1165,1591
"New Jersey : geothermal","thousand megawatthours","ELEC.GEN.GEO-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey : biomass",,"ELEC.GEN.BIO-NJ-99.A",,,,,,,,,,,,,,,,,,,,
"New Jersey : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey : other biomass","thousand megawatthours","ELEC.GEN.WAS-NJ-99.A",844,847,907,806,875,901,823,882,928,816,876,965,999,998,946,983,929,935,797,747
"New Jersey : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NJ-99.A",-142,-146,-120,-287,-283,-299,-269,-275,-202,-194,-197,-166,-202,-237,-170,-204,-162,-115,-94,-110
