"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Maryland : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MD-99.A","--","--","--","--","--","--","--","--","--",0,3,22,63,98,119,209,267,397,494,604
"North Carolina",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"North Carolina : all fuels (utility-scale)",,"ELEC.GEN.ALL-NC-99.A",,,,,,,,,,,,,,,,,,,,
"North Carolina : coal","thousand megawatthours","ELEC.GEN.COW-NC-99.A",72958,75188,74776,75546,78436,75487,79983,75815,65083,71951,59758,50932,47072,49238,39922,37436,34460,31690,30672,20794
"North Carolina : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NC-99.A",656,592,784,611,519,451,496,320,297,293,218,178,218,460,435,251,251,633,192,120
"North Carolina : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,"--","--","--","--"
"North Carolina : natural gas","thousand megawatthours","ELEC.GEN.NG-NC-99.A",1534,3561,1580,2559,3159,3196,4457,4177,4852,8447,11155,19302,27983,28738,36545,39251,38590,43446,41147,41716
"North Carolina : nuclear","thousand megawatthours","ELEC.GEN.NUC-NC-99.A",37775,39627,40907,40091,39982,39963,40045,39776,40848,40740,40527,39386,40242,40967,42097,42786,42374,42077,41916,42329
"North Carolina : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NC-99.A",2596,3492,7201,5435,5397,3839,2984,3034,5171,4757,3893,3728,6901,4756,4742,4417,3818,6605,6186,6599
"North Carolina : other renewables","thousand megawatthours","ELEC.GEN.AOR-NC-99.A",1751,1786,1976,1733,1807,1828,1672,1922,1893,2083,2345,2704,2955,3276,3963,5983,8397,9263,10524,11910
"North Carolina : wind","thousand megawatthours","ELEC.GEN.WND-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",6,471,543,523,546
"North Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NC-99.A","--","--","--","--","--","--","--",2,5,11,17,139,345,729,1374,3421,5114,6110,7451,8933
"North Carolina : geothermal","thousand megawatthours","ELEC.GEN.GEO-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina : biomass",,"ELEC.GEN.BIO-NC-99.A",,,,,,,,,,,,,,,,,,,,
"North Carolina : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NC-99.A",1642,1683,1862,1621,1709,1737,1585,1800,1757,1876,1953,2262,2200,2027,2045,1960,2117,1953,1878,1826
"North Carolina : other biomass","thousand megawatthours","ELEC.GEN.WAS-NC-99.A",109,103,114,112,98,92,87,120,131,195,375,302,410,520,544,596,695,656,671,605
"North Carolina : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NC-99.A",0,25,119,78,147,131,137,-121,43,0,0,0,0,78,0,0,0,0,0,0
"North Carolina : all solar",,"ELEC.GEN.TSN-NC-99.A",,,,,,,,,,,,,,,,,,,,
"North Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NC-99.A","--","--","--","--","--","--","--",2,5,11,17,139,345,729,1374,3421,5114,6110,7451,8933
"South Carolina",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"South Carolina : all fuels (utility-scale)",,"ELEC.GEN.ALL-SC-99.A",,,,,,,,,,,,,,,,,,,,
"South Carolina : coal","thousand megawatthours","ELEC.GEN.COW-SC-99.A",36699,36948,37432,38922,39692,39473,41583,41540,34478,37671,34169,28396,24407,28914,22631,21003,18152,19497,14861,12459
"South Carolina : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SC-99.A",308,300,409,380,339,221,217,129,140,163,112,108,103,246,193,114,98,344,79,63
"South Carolina : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SC-99.A","--","--",48,491,279,16,0,52,383,28,0,0,0,0,0,0,0,0,0,0
"South Carolina : natural gas","thousand megawatthours","ELEC.GEN.NG-SC-99.A",1176,4498,1663,3798,5414,6068,5965,5729,9780,10927,12936,14332,11834,11407,16549,16367,17156,21654,23926,24298
"South Carolina : nuclear","thousand megawatthours","ELEC.GEN.NUC-SC-99.A",49870,53326,50418,51201,53138,50797,53200,51763,52150,51988,52903,51145,54252,52419,53156,55826,54345,52716,56103,54751
"South Carolina : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SC-99.A",1225,1390,3665,2447,2938,1807,1556,1123,2332,2376,1554,1420,3160,2569,2564,2226,1835,3014,2976,3145
"South Carolina : other renewables","thousand megawatthours","ELEC.GEN.AOR-SC-99.A",894,1244,1296,1763,1814,1910,1996,1816,1748,1873,2129,2143,2226,2442,2294,2381,2479,2802,3027,4089
"South Carolina : wind","thousand megawatthours","ELEC.GEN.WND-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,5,4,5,80,510,859,1796
"South Carolina : geothermal","thousand megawatthours","ELEC.GEN.GEO-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : biomass",,"ELEC.GEN.BIO-SC-99.A",,,,,,,,,,,,,,,,,,,,
"South Carolina : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-SC-99.A",866,1229,1244,1694,1726,1804,1895,1696,1611,1742,1988,1941,2013,2244,2103,2197,2228,2141,2039,2170
"South Carolina : other biomass","thousand megawatthours","ELEC.GEN.WAS-SC-99.A",28,16,52,69,88,106,101,120,137,131,141,203,213,194,186,180,171,150,129,122
"South Carolina : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SC-99.A",-1036,-1143,-1207,-1149,-1199,-1120,-1211,-1267,-976,-935,-890,-896,-795,-884,-904,-977,-1025,-705,-909,-679
"South Carolina : all solar",,"ELEC.GEN.TSN-SC-99.A",,,,,,,,,,,,,,,,,,,,
"South Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SC-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,5,4,5,80,510,859,1796
"Virginia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Virginia : all fuels (utility-scale)",,"ELEC.GEN.ALL-VA-99.A",,,,,,,,,,,,,,,,,,,,
"Virginia : coal","thousand megawatthours","ELEC.GEN.COW-VA-99.A",37770,38082,37093,35656,35425,34288,35421,31776,25599,25459,19881,14181,21161,20819,17231,16499,10726,9266,3418,3763
"Virginia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VA-99.A",5462,3793,5780,5154,4265,839,2097,1150,1088,1293,503,364,313,1205,1108,535,456,950,258,221
"Virginia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : natural gas","thousand megawatthours","ELEC.GEN.NG-VA-99.A",4196,4387,4619,6438,8295,7215,10904,9315,12201,16999,18332,25038,22651,20882,33284,40905,44507,50160,57985,62112
"Virginia : nuclear","thousand megawatthours","ELEC.GEN.NUC-VA-99.A",25759,27346,24816,28315,27918,27594,27268,27931,28212,26572,25548,28723,29326,30221,28060,29732,30554,29252,29498,30140
"Virginia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VA-99.A",1014,868,1782,1583,1484,1351,1248,1011,1479,1500,1210,1044,1254,955,1158,1471,1116,1765,1519,1607
"Virginia : other renewables","thousand megawatthours","ELEC.GEN.AOR-VA-99.A",1747,2071,2261,2432,2498,2458,2566,2698,2418,2220,2196,2358,2906,3852,4144,4113,4122,4936,4696,4944
"Virginia : wind","thousand megawatthours","ELEC.GEN.WND-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VA-99.A",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",21,313,763,949,1481
"Virginia : geothermal","thousand megawatthours","ELEC.GEN.GEO-VA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia : biomass",,"ELEC.GEN.BIO-VA-99.A",,,,,,,,,,,,,,,,,,,,
"Virginia : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-VA-99.A",1148,1408,1588,1733,1803,1780,1792,1916,1708,1404,1406,1436,1946,2755,3041,2986,2901,3001,2665,2377
"Virginia : other biomass","thousand megawatthours","ELEC.GEN.WAS-VA-99.A",599,663,674,699,695,678,773,782,709,815,790,923,960,1097,1103,1106,907,1172,1082,1086
"Virginia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VA-99.A",-2240,-1989,-1498,-1166,-1421,-1167,-1620,-1638,-1335,-1491,-1470,-1366,-1189,-1295,-1036,-1163,-1278,-1292,-1104,-1080
"Virginia : all solar",,"ELEC.GEN.TSN-VA-99.A",,,,,,,,,,,,,,,,,,,,
"Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VA-99.A",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--",21,313,763,949,1481
"West Virginia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"West Virginia : all fuels (utility-scale)",,"ELEC.GEN.ALL-WV-99.A",,,,,,,,,,,,,,,,,,,,
"West Virginia : coal","thousand megawatthours","ELEC.GEN.COW-WV-99.A",80214,92951,92469,87585,91417,91473,91866,89113,68080,78148,75964,70267,72284,77515,68056,71513,68349,62039,58182,50181
"West Virginia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WV-99.A",279,298,248,268,223,175,200,137,169,155,188,143,150,163,140,123,120,159,128,142
"West Virginia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WV-99.A","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Virginia : natural gas","thousand megawatthours","ELEC.GEN.NG-WV-99.A",276,241,278,255,287,362,389,180,109,140,251,243,270,653,1304,1225,1527,1420,2243,2769
"West Virginia : nuclear","thousand megawatthours","ELEC.GEN.NUC-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WV-99.A",952,1066,1356,1318,1448,1572,1254,1248,1646,1367,1453,1431,1739,1242,1385,1638,1658,1848,1706,1738
"West Virginia : other renewables","thousand megawatthours","ELEC.GEN.AOR-WV-99.A",16,15,174,163,155,174,168,392,742,939,1112,1297,1391,1456,1381,1432,1682,1770,1631,1898
"West Virginia : wind","thousand megawatthours","ELEC.GEN.WND-WV-99.A","--",9,170,161,154,174,168,392,742,939,1103,1286,1387,1451,1376,1432,1682,1770,1631,1898
"West Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : geothermal","thousand megawatthours","ELEC.GEN.GEO-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : biomass",,"ELEC.GEN.BIO-WV-99.A",,,,,,,,,,,,,,,,,,,,
"West Virginia : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-WV-99.A",1,0,0,1,0,0,0,-0,-1,0,0,-0,"--","--","--","--","--","--","--","--"
"West Virginia : other biomass","thousand megawatthours","ELEC.GEN.WAS-WV-99.A",14,6,4,2,0,0,0,0,-0,0,9,11,4,5,5,5,"--","--",0,0
"West Virginia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia : all solar",,"ELEC.GEN.TSN-WV-99.A",,,,,,,,,,,,,,,,,,,,
"West Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"East South Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Alabama",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Alabama : all fuels (utility-scale)",,"ELEC.GEN.ALL-AL-99.A",,,,,,,,,,,,,,,,,,,,
"Alabama : coal","thousand megawatthours","ELEC.GEN.COW-AL-99.A",72198,72042,76696,74832,78128,78109,77994,74605,55609,63050,56807,45607,47050,47302,41410,34258,31440,31778,26655,21730
"Alabama : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AL-99.A",435,312,337,295,333,180,157,204,219,200,120,110,74,98,84,46,36,66,20,10
"Alabama : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AL-99.A","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Alabama : natural gas","thousand megawatthours","ELEC.GEN.NG-AL-99.A",9613,15904,12244,15977,13869,19407,23232,22363,31617,39235,47681,55705,46586,48270,55844,57804,52984,58800,57197,54880
"Alabama : nuclear","thousand megawatthours","ELEC.GEN.NUC-AL-99.A",30357,31857,31677,31636,31694,31911,34325,38993,39716,37941,39356,40841,40816,41244,41951,39902,42652,39463,43657,43551
"Alabama : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AL-99.A",8356,8825,12665,10626,10145,7252,4136,6136,12535,8704,8884,7435,12899,9467,9862,6985,9237,11143,11405,11947
"Alabama : other renewables","thousand megawatthours","ELEC.GEN.AOR-AL-99.A",4189,3746,3673,3779,3647,3884,3801,3357,3050,2377,2817,2777,2876,2779,3289,3367,3606,3804,3742,3751
"Alabama : wind","thousand megawatthours","ELEC.GEN.WND-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,181,357,385,370
"Alabama : geothermal","thousand megawatthours","ELEC.GEN.GEO-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : biomass",,"ELEC.GEN.BIO-AL-99.A",,,,,,,,,,,,,,,,,,,,
"Alabama : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-AL-99.A",4172,3727,3649,3756,3630,3865,3784,3324,3035,2365,2807,2769,2854,2732,3246,3297,3384,3409,3317,3340
"Alabama : other biomass","thousand megawatthours","ELEC.GEN.WAS-AL-99.A",17,18,24,23,16,19,17,34,14,12,10,8,21,47,44,38,41,38,40,41
"Alabama : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : all solar",,"ELEC.GEN.TSN-AL-99.A",,,,,,,,,,,,,,,,,,,,
"Alabama : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,181,357,385,370
"Kentucky",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Kentucky : all fuels (utility-scale)",,"ELEC.GEN.ALL-KY-99.A",,,,,,,,,,,,,,,,,,,,
"Kentucky : coal","thousand megawatthours","ELEC.GEN.COW-KY-99.A",90799,83274,84061,86121,89083,91198,90483,91621,84038,91054,91656,82762,83303,83602,72620,66822,57237,59168,51714,43638
"Kentucky : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KY-99.A",124,174,150,121,118,96,119,131,127,123,139,107,107,120,113,88,71,70,50,56
"Kentucky : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KY-99.A","--",2895,2795,3500,3563,3245,2673,2743,1890,2162,1596,1429,1302,1033,964,1130,427,-0,0,0
"Kentucky : natural gas","thousand megawatthours","ELEC.GEN.NG-KY-99.A",630,1374,444,580,1654,1177,1796,979,878,1841,1546,2949,1418,2500,5950,8228,10380,14615,15341,14637
"Kentucky : nuclear","thousand megawatthours","ELEC.GEN.NUC-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KY-99.A",3856,4025,3948,3780,2961,2592,1669,1917,3318,2580,2969,2362,3275,3144,3403,3478,4506,4418,4232,4613
"Kentucky : other renewables","thousand megawatthours","ELEC.GEN.AOR-KY-99.A",10,365,299,411,421,459,466,460,364,440,436,333,327,448,441,477,515,470,419,415
"Kentucky : wind","thousand megawatthours","ELEC.GEN.WND-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",12,20,39,45,46
"Kentucky : geothermal","thousand megawatthours","ELEC.GEN.GEO-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : biomass",,"ELEC.GEN.BIO-KY-99.A",,,,,,,,,,,,,,,,,,,,
"Kentucky : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-KY-99.A",10,365,298,349,358,369,370,351,263,349,341,237,228,354,349,360,380,329,276,272
"Kentucky : other biomass","thousand megawatthours","ELEC.GEN.WAS-KY-99.A","--","--",1,62,63,89,95,109,101,91,95,96,98,94,92,105,114,102,98,97
"Kentucky : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : all solar",,"ELEC.GEN.TSN-KY-99.A",,,,,,,,,,,,,,,,,,,,
"Kentucky : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",12,20,39,45,46
"Mississippi",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Mississippi : all fuels (utility-scale)",,"ELEC.GEN.ALL-MS-99.A",,,,,,,,,,,,,,,,,,,,
"Mississippi : coal","thousand megawatthours","ELEC.GEN.COW-MS-99.A",19196,14853,17083,17478,16636,18105,17407,16683,12958,13629,9723,7212,8701,10743,6400,5342,4628,5280,4414,4594
"Mississippi : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MS-99.A",5144,30,1632,2777,1445,399,399,76,17,81,36,17,14,14,14,18,11,27,14,8
"Mississippi : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : natural gas","thousand megawatthours","ELEC.GEN.NG-MS-99.A",17751,16971,9477,11619,15360,15706,21335,20607,23267,29619,29966,38550,31777,32606,45117,50095,46158,49482,48781,52871
"Mississippi : nuclear","thousand megawatthours","ELEC.GEN.NUC-MS-99.A",9924,10059,10902,10233,10078,10419,9359,9397,10999,9643,10337,7296,10865,10252,11715,5897,7365,6919,11033,6471
"Mississippi : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : other renewables","thousand megawatthours","ELEC.GEN.AOR-MS-99.A",1432,937,1022,1514,1522,1541,1493,1391,1424,1504,1506,1509,1448,1508,1507,1524,1563,1765,1718,1827
"Mississippi : wind","thousand megawatthours","ELEC.GEN.WND-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,86,326,322,436
"Mississippi : geothermal","thousand megawatthours","ELEC.GEN.GEO-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : biomass",,"ELEC.GEN.BIO-MS-99.A",,,,,,,,,,,,,,,,,,,,
"Mississippi : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MS-99.A",1432,937,1015,1511,1516,1535,1488,1386,1417,1503,1503,1493,1433,1491,1493,1513,1462,1423,1378,1373
"Mississippi : other biomass","thousand megawatthours","ELEC.GEN.WAS-MS-99.A",0,0,7,3,5,6,5,5,7,1,3,16,15,17,13,11,15,17,17,18
"Mississippi : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : all solar",,"ELEC.GEN.TSN-MS-99.A",,,,,,,,,,,,,,,,,,,,
"Mississippi : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,86,326,322,436
"Tennessee",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Tennessee : all fuels (utility-scale)",,"ELEC.GEN.ALL-TN-99.A",,,,,,,,,,,,,,,,,,,,
"Tennessee : coal","thousand megawatthours","ELEC.GEN.COW-TN-99.A",59730,59706,54921,58060,59051,60498,60237,57058,41633,43670,40777,35419,32486,35875,30586,31168,27715,20967,18692,14245
"Tennessee : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-TN-99.A",400,270,406,191,231,160,232,216,187,217,195,144,130,185,135,122,124,130,140,108
"Tennessee : petroleum coke","thousand megawatthours","ELEC.GEN.PC-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee : natural gas","thousand megawatthours","ELEC.GEN.NG-TN-99.A",456,470,627,292,531,664,722,467,409,2302,3259,8075,5017,6200,9324,11319,10268,13399,16955,15676
"Tennessee : nuclear","thousand megawatthours","ELEC.GEN.NUC-TN-99.A",28576,27574,24153,28612,27803,24679,28700,27030,26962,27739,26919,25102,28494,27670,24960,29578,31818,36176,35720,36688
"Tennessee : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-TN-99.A",6947,7974,12004,10408,9310,7749,4940,5646,10212,8138,9576,8296,12443,8901,9581,6774,8691,10293,10130,10361
"Tennessee : other renewables","thousand megawatthours","ELEC.GEN.AOR-TN-99.A",822,800,830,830,766,811,971,965,950,988,1020,836,1110,1141,1126,1050,1083,1191,1283,1134
"Tennessee : wind","thousand megawatthours","ELEC.GEN.WND-TN-99.A","--",4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,38,54
"Tennessee : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TN-99.A","--","--","--","--","--","--","--","--","--","--","--",12,20,27,76,79,92,168,326,335
"Tennessee : geothermal","thousand megawatthours","ELEC.GEN.GEO-TN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee : biomass",,"ELEC.GEN.BIO-TN-99.A",,,,,,,,,,,,,,,,,,,,
"Tennessee : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-TN-99.A",779,751,767,784,695,698,868,879,862,914,930,715,958,973,922,843,851,895,830,657
"Tennessee : other biomass","thousand megawatthours","ELEC.GEN.WAS-TN-99.A",43,45,59,42,68,58,52,36,36,33,36,62,85,90,82,91,97,87,88,88
"Tennessee : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-TN-99.A",-734,-696,-729,-818,-598,-668,-704,-739,-650,-721,-660,-163,-42,-491,-531,-704,-686,-620,-615,-721
"Tennessee : all solar",,"ELEC.GEN.TSN-TN-99.A",,,,,,,,,,,,,,,,,,,,
"Tennessee : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TN-99.A","--","--","--","--","--","--","--","--","--","--","--",12,20,27,76,79,92,168,326,335
"West South Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Arkansas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Arkansas : all fuels (utility-scale)",,"ELEC.GEN.ALL-AR-99.A",,,,,,,,,,,,,,,,,,,,
"Arkansas : coal","thousand megawatthours","ELEC.GEN.COW-AR-99.A",24764,23098,23504,25354,23037,24183,25744,26115,25075,28152,29418,28431,31889,33221,21740,23800,26285,29996,23313,15421
"Arkansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AR-99.A",879,160,289,539,203,160,94,64,88,45,56,33,42,29,60,42,49,36,47,43
"Arkansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AR-99.A","--","--","--","--",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arkansas : natural gas","thousand megawatthours","ELEC.GEN.NG-AR-99.A",2707,4603,7301,5069,6006,9282,8364,8461,11221,12469,12947,17117,12139,9614,14866,18171,17314,20624,21772,16812
"Arkansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-AR-99.A",14781,14559,14689,15450,13690,15233,15486,14168,15170,15023,14194,15493,11945,14478,13838,13421,12691,12721,13575,15063
"Arkansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AR-99.A",2548,3436,2655,3643,3083,1551,3237,4660,4193,3659,2958,2198,2655,2640,3569,3570,2943,3009,4135,4241
"Arkansas : other renewables","thousand megawatthours","ELEC.GEN.AOR-AR-99.A",1512,1585,1844,1810,1736,1723,1624,1513,1586,1624,1668,1660,1601,1530,1442,1396,1467,1569,1545,1291
"Arkansas : wind","thousand megawatthours","ELEC.GEN.WND-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,26,31,203,210,274
"Arkansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arkansas : biomass",,"ELEC.GEN.BIO-AR-99.A",,,,,,,,,,,,,,,,,,,,
"Arkansas : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-AR-99.A",1505,1581,1749,1778,1708,1689,1581,1466,1529,1567,1587,1590,1496,1428,1352,1257,1332,1291,1242,913
"Arkansas : other biomass","thousand megawatthours","ELEC.GEN.WAS-AR-99.A",7,5,95,33,28,33,43,47,57,57,81,70,105,102,89,113,105,75,93,104
"Arkansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AR-99.A","--","--",10,25,21,15,30,48,100,-1,34,42,31,67,32,39,20,40,51,66
"Arkansas : all solar",,"ELEC.GEN.TSN-AR-99.A",,,,,,,,,,,,,,,,,,,,
"Arkansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,26,31,203,210,274
"Louisiana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Louisiana : all fuels (utility-scale)",,"ELEC.GEN.ALL-LA-99.A",,,,,,,,,,,,,,,,,,,,
"Louisiana : coal","thousand megawatthours","ELEC.GEN.COW-LA-99.A",21968,22051,22889,23658,23087,24395,23051,24100,23067,23924,24628,21422,20844,19221,15165,12014,12316,11787,7419,3919
